;Types
NOVA_MEMREF
NOVA_OP
NOVA_IO
NOVA_MATH
NOVA_PC
ECLIPSE_MEMREF
ECLIPSE_OP
ECLIPSE_PC
ECLIPSE_STACK
EAGLE_IO
EAGLE_PC
EAGLE_OP
EAGLE_MEMREF
EAGLE_STACK
EAGLE_FPU
;
;Formats
DERR_FMT
IMM_MODE_2_WORD_FMT
IMM_ONEACC_FMT
IO_FLAGS_DEV_FMT
IO_TEST_DEV_FMT
LNDO_4_WORD_FMT
NOACC_MODE_2_WORD_FMT
NOACC_MODE_3_WORD_FMT
NOACC_MODE_IMM_IND_3_WORD_FMT
NOACC_MODE_IND_2_WORD_E_FMT
NOACC_MODE_IND_2_WORD_X_FMT
NOACC_MODE_IND_3_WORD_FMT
NOACC_MODE_IND_3_WORD_XCALL_FMT
NOACC_MODE_IND_4_WORD_FMT
NOVA_DATA_IO_FMT
NOVA_NOACC_EFF_ADDR_FMT
NOVA_ONEACC_EFF_ADDR_FMT
NOVA_TWOACC_MULT_OP_FMT
ONEACC_IMM_2_WORD_FMT
ONEACC_IMMWD_2_WORD_FMT
ONEACC_IMM_3_WORD_FMT
ONEACC_IMMDWD_3_WORD_FMT
ONEACC_MODE_2_WORD_E_FMT
ONEACC_MODE_2_WORD_X_B_FMT
ONEACC_MODE_3_WORD_FMT
ONEACC_MODE_IND_2_WORD_E_FMT
ONEACC_MODE_IND_2_WORD_X_FMT
ONEACC_MODE_IND_3_WORD_FMT
ONEACC_1_WORD_FMT
UNIQUE_1_WORD_FMT
UNIQUE_2_WORD_FMT
SPLIT_8BIT_DISP_FMT
THREE_WORD_DO_FMT
TWOACC_1_WORD_FMT
TWOACC_IMM_2_WORD_FMT
WSKB_FMT
;
;Instructions
ISZTS,0xc7c9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_PC,0
JMP,0x0,0xf800,1,NOVA_NOACC_EFF_ADDR_FMT,NOVA_PC,0
JSR,0x800,0xf800,1,NOVA_NOACC_EFF_ADDR_FMT,NOVA_PC,0
LCALL,0xa6c9,0xe7ff,4,NOACC_MODE_IND_4_WORD_FMT,EAGLE_PC,1
LCPID,0x8759,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_IO,0
LDA,0x2000,0xe000,1,NOVA_ONEACC_EFF_ADDR_FMT,NOVA_MEMREF,0
LDAFP,0xc669,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_STACK,0
LDASB,0xc649,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_STACK,0
LDASL,0xa669,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_STACK,0
LDASP,0xa649,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_STACK,0
LDATS,0x8649,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_STACK,0
LDB,0x85c8,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
LDSP,0x8519,0x87ff,3,ONEACC_MODE_IND_3_WORD_FMT,EAGLE_PC,1
LEF,0x6000,0xe000,1,NOVA_ONEACC_EFF_ADDR_FMT,ECLIPSE_MEMREF,0
LFDMS,0x81e9,0x87ff,3,ONEACC_MODE_IND_3_WORD_FMT,EAGLE_FPU,1
LJMP,0xa6d9,0xe7ff,3,NOACC_MODE_IND_3_WORD_FMT,EAGLE_PC,1
LJSR,0xa6e9,0xe7ff,3,NOACC_MODE_IND_3_WORD_FMT,EAGLE_PC,1
LLDB,0x84c9,0x87ff,3,ONEACC_MODE_3_WORD_FMT,EAGLE_MEMREF,1
LLEF,0x83e9,0x87ff,3,ONEACC_MODE_IND_3_WORD_FMT,EAGLE_MEMREF,1
LLEFB,0x84e9,0x87ff,3,ONEACC_MODE_3_WORD_FMT,EAGLE_MEMREF,1
LMRF,0x87c9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_OP,0
LNADD,0x8218,0x87ff,3,ONEACC_MODE_IND_3_WORD_FMT,EAGLE_OP,1
LNADI,0x8618,0x87ff,3,NOACC_MODE_IMM_IND_3_WORD_FMT,EAGLE_OP,1
LNDIV,0x82d8,0x87ff,3,ONEACC_MODE_IND_3_WORD_FMT,EAGLE_OP,1
LNDO,0x8698,0x87ff,4,LNDO_4_WORD_FMT,EAGLE_PC,1
LNDSZ,0x86d9,0xe7ff,3,NOACC_MODE_IND_3_WORD_FMT,EAGLE_PC,1
LNISZ,0x86c9,0xe7ff,3,NOACC_MODE_IND_3_WORD_FMT,EAGLE_PC,1
LNLDA,0x83c9,0x87ff,3,ONEACC_MODE_IND_3_WORD_FMT,EAGLE_MEMREF,1
LNMUL,0x8298,0x87ff,3,ONEACC_MODE_IND_3_WORD_FMT,EAGLE_MEMREF,1
LNSBI,0x8658,0x87ff,3,NOACC_MODE_IMM_IND_3_WORD_FMT,EAGLE_MEMREF,1
LNSTA,0x83d9,0x87ff,3,ONEACC_MODE_IND_3_WORD_FMT,EAGLE_MEMREF,1
LNSUB,0x8258,0x87ff,3,ONEACC_MODE_IND_3_WORD_FMT,EAGLE_MEMREF,1
LOB,0x8508,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
LPEF,0xa6f9,0xe7ff,3,NOACC_MODE_IND_3_WORD_FMT,EAGLE_STACK,1
LPEFB,0xc6f9,0xe7ff,3,NOACC_MODE_3_WORD_FMT,EAGLE_STACK,1
LPHY,0x87e9,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_OP,0
LPSHJ,0xC6C9,0xE7FF,3,NOACC_MODE_IND_3_WORD_FMT,EAGLE_PC,1
LPSR,0xa799,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_OP,0
LRB,0x8548,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
LSH,0x8288,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
LSTB,0x84d9,0x87ff,3,ONEACC_MODE_3_WORD_FMT,EAGLE_MEMREF,1
LWDO,0x8798,0x87ff,4,LNDO_4_WORD_FMT,EAGLE_PC,1
LWDSZ,0x86f9,0xe7ff,3,NOACC_MODE_IND_3_WORD_FMT,EAGLE_PC,1
LWISZ,0x86e9,0xe7ff,3,NOACC_MODE_IND_3_WORD_FMT,EAGLE_PC,1
LWLDA,0x83f9,0x87ff,3,ONEACC_MODE_IND_3_WORD_FMT,EAGLE_MEMREF,1
LWSTA,0x84f9,0x87ff,3,ONEACC_MODE_IND_3_WORD_FMT,EAGLE_MEMREF,1
MOV,0x8200,0x8700,1,NOVA_TWOACC_MULT_OP_FMT,NOVA_OP,0
MSP,0x86f8,0xe7ff,1,ONEACC_1_WORD_FMT,ECLIPSE_OP,0
MUL,0xc7c8,0xffff,1,UNIQUE_1_WORD_FMT,NOVA_MATH,0
MULS,0xcfc8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_OP,0
NADD,0x8049,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
NADDI,0xc639,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,EAGLE_OP,0
NADI,0x8599,0x87ff,1,IMM_ONEACC_FMT,EAGLE_OP,0
NCLID,0x683f,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_IO,0
NEG,0x8100,0x8700,1,NOVA_TWOACC_MULT_OP_FMT,NOVA_OP,0
NIO,0x6000,0xff00,1,IO_FLAGS_DEV_FMT,NOVA_IO,0
NLDAI,0xc629,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,EAGLE_OP,0
NMUL,0x8069,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
NSALA,0xe609,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,EAGLE_PC,0
NSANA,0xe629,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,EAGLE_PC,0
NSBI,0x85a9,0x87ff,1,IMM_ONEACC_FMT,EAGLE_OP,0
NSUB,0x8059,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_OP,0
PIO,0x85d9,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_IO,0
POP,0x8688,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_STACK,0
POPB,0x8fc8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_STACK,0
POPJ,0x9fc8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_STACK,0
PRTSEL,0x783f,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_IO,0
PSH,0x8648,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_STACK,0
PSHJ,0x84b8,0xfcff,2,NOACC_MODE_IND_2_WORD_E_FMT,ECLIPSE_STACK,1
PSHR,0x87c8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_STACK,0
READS,0x613f,0xe7ff,1,ONEACC_1_WORD_FMT,EAGLE_IO,0
RSTR,0xefc8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_STACK,0
RTN,0xafc8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_STACK,0
